Frame,Time,1_pos_X,1_pos_Y,1_pos_Z,2_pos_X,2_pos_Y,2_pos_Z,3_pos_X,3_pos_Y,3_pos_Z,4_pos_X,4_pos_Y,4_pos_Z,C_pos_X,C_pos_Y,C_pos_Z
519,5.18,431.518,395.07,280.165,429.262,545.785,274.898,577.427,547.394,260.943,578.581,398.491,269.014,509.345,470.48,290.664
520,5.19,435.874,398.781,280.445,433.633,549.911,275.162,581.685,551.672,261.224,582.994,402.628,269.306,513.871,474.494,291.061
521,5.2,440.564,402.924,280.935,437.813,553.798,275.689,586.083,555.85,261.527,587.599,406.792,269.483,518.164,478.643,291.277
522,5.21,445.078,406.911,281.168,442.259,557.674,276.167,590.411,559.997,261.81,592.196,411.038,269.773,522.702,482.769,291.697
523,5.22,449.88,411.098,281.525,446.635,561.773,276.563,594.738,564.425,262.145,596.855,415.318,269.903,527.204,486.917,291.833
524,5.23,454.624,415.023,282.006,451.107,565.712,277.032,599.079,568.611,262.381,601.625,419.602,270.276,531.825,491.034,292.275
525,5.24,459.415,419.161,282.308,455.616,569.914,277.402,603.676,572.919,262.667,606.355,423.975,270.381,536.443,495.283,292.545
526,5.25,464.125,423.19,282.7,460.16,573.807,277.965,608.191,577.304,263.112,611.118,428.277,270.876,541.258,499.392,293.012
527,5.26,468.966,427.227,283.104,464.909,578.253,278.524,613.002,581.476,263.479,616.037,432.567,270.948,546.073,503.682,293.276
528,5.27,474.067,431.468,283.445,469.475,582.202,278.918,617.617,585.949,263.74,621.125,437.151,271.343,550.917,507.748,293.669
529,5.28,478.923,435.869,283.69,474.452,586.464,279.558,622.191,590.234,264.155,625.917,441.262,271.381,555.677,512.082,294.009
530,5.29,483.927,439.979,284.291,479.142,590.48,279.941,627.208,594.546,264.628,630.995,445.911,271.844,560.713,516.242,294.54
531,5.3,489.033,444.081,284.441,484.203,594.81,280.444,632.051,599.029,265.05,635.981,450.037,271.875,565.701,520.609,294.839
532,5.31,494.154,448.426,284.811,489.07,598.914,280.927,636.863,603.407,265.384,641.072,454.422,272.381,570.774,524.846,295.208
533,5.32,499.349,452.443,285.054,494.147,603.299,281.418,642.026,607.788,265.904,646.154,458.871,272.523,575.74,529.152,295.577
534,5.33,504.531,456.847,285.388,499.15,607.465,281.81,647.138,612.118,266.393,651.351,463.244,272.9,581.003,533.624,295.933
535,5.34,509.919,460.93,285.525,504.386,611.743,282.443,652.126,616.401,266.763,656.656,467.713,273.014,586.129,537.726,296.189
536,5.35,515.036,465.439,285.974,509.733,616.411,282.732,657.625,620.765,267.21,661.921,472.149,273.339,591.435,542.153,296.675
537,5.36,520.372,469.715,286.158,515.002,620.507,283.149,662.896,625.136,267.736,667.332,476.517,273.661,596.84,546.652,296.923
538,5.37,525.872,474.177,286.452,520.38,624.984,283.573,668.136,629.709,267.962,672.797,480.958,273.972,602.094,550.893,297.214
539,5.38,531.186,478.549,286.828,525.808,629.335,283.935,673.647,634.056,268.196,678.134,485.222,274.311,607.659,555.414,297.728
540,5.39,536.76,483.195,287.199,531.259,633.634,284.214,679.111,638.431,268.545,683.634,489.612,274.766,613.133,559.593,297.908
541,5.4,542.203,487.538,287.651,536.907,638.166,284.473,684.678,642.854,268.785,689.204,494.109,275.118,618.752,564.066,298.415
542,5.41,547.785,492.091,287.622,542.472,642.587,284.686,690.448,647.263,269.125,694.645,498.317,275.482,624.312,568.655,298.483
543,5.42,553.464,496.394,287.988,548.149,646.938,284.764,696.191,651.786,269.428,700.395,502.936,275.756,629.935,573.011,298.757
544,5.43,559.284,500.829,288.246,553.991,651.476,284.952,701.863,656.068,269.517,706.057,507.268,276.031,635.614,577.522,298.977
545,5.44,564.853,505.343,288.411,559.742,655.946,285.087,707.738,660.544,269.894,711.799,511.631,276.321,641.395,581.983,299.313
546,5.45,570.653,509.777,288.576,565.645,660.448,285.127,713.753,665.039,270.133,717.577,516.055,276.515,647.122,586.315,299.455
547,5.46,576.48,514.347,288.643,571.641,665.071,285.289,719.584,669.304,270.09,723.299,520.304,276.745,653.068,590.884,299.511
548,5.47,582.289,518.938,288.786,577.69,669.777,285.467,725.69,673.67,270.275,729.189,524.889,276.981,658.982,595.362,299.621
549,5.48,588.268,523.427,288.966,583.664,674.16,285.412,731.859,678.167,270.344,735.056,529.344,276.978,664.916,599.659,299.617
550,5.49,594.087,528.026,288.782,589.703,678.75,285.5,737.73,682.689,270.32,740.982,533.743,277.083,670.981,604.143,299.657
551,5.5,600.128,532.552,289.019,596.055,683.56,285.553,744.125,686.83,270.478,746.953,538.093,277.077,677.056,608.731,299.794
552,5.51,606.075,537.21,288.888,602.272,688.227,285.469,750.43,691.243,270.38,752.832,542.394,277.081,683.102,613.211,299.805
553,5.52,612.006,541.844,288.85,608.62,692.842,285.456,756.431,695.413,270.405,758.922,546.73,277.075,689.205,617.687,299.701
554,5.53,618,546.493,288.732,614.835,697.426,285.324,762.799,699.888,270.449,765.048,551.07,277.207,695.531,622.286,299.704
