NO_OF_FRAMES	494
NO_OF_DATA_TYPES	15
FREQUENCY	100
TIME_STAMP	2025-01-24, 16:29:33
DATA_INCLUDED	Velocity
DATA_TYPES	2_vel_X	2_vel_Y	2_vel_Z	3_vel_X	3_vel_Y	3_vel_Z	4_vel_X	4_vel_Y	4_vel_Z	C_vel_X	C_vel_Y	C_vel_Z	1_vel_X	1_vel_Y	1_vel_Z

Frame	Time	2_vel_X	2_vel_Y	2_vel_Z	3_vel_X	3_vel_Y	3_vel_Z	4_vel_X	4_vel_Y	4_vel_Z	C_vel_X	C_vel_Y	C_vel_Z	1_vel_X	1_vel_Y	1_vel_Z	
460	4.59000	169.497	280.045	333.667	183.009	268.919	329.334	157.820	263.410	309.430	153.004	266.788	311.060	165.276	278.725	315.331
461	4.60000	157.421	266.891	309.142	175.626	280.138	319.809	164.101	272.272	300.224	181.149	286.867	317.060	165.492	276.768	315.443
462	4.61000	159.872	267.260	302.660	177.127	279.339	308.555	163.509	276.832	280.992	181.300	285.001	308.861	158.531	276.107	295.795
463	4.62000	178.662	287.632	306.192	178.736	279.757	294.853	171.250	282.909	281.843	174.497	293.989	296.756	163.001	297.233	290.690
464	4.63000	182.550	297.279	315.392	175.785	283.554	264.257	170.906	286.990	284.163	180.317	292.101	277.269	167.372	297.644	304.919
465	4.64000	187.721	303.547	303.577	171.697	287.450	255.784	169.634	287.059	267.478	178.233	279.802	278.444	165.288	293.244	291.054
466	4.65000	182.047	289.621	273.336	187.949	286.193	265.796	174.507	288.364	252.217	178.827	285.916	275.322	176.527	295.087	276.772
467	4.66000	180.157	291.040	266.485	193.649	285.179	246.584	174.969	284.668	243.400	181.791	292.292	255.968	189.127	306.016	277.155
468	4.67000	186.052	309.130	258.844	187.451	301.592	236.082	174.099	289.179	246.244	195.489	304.984	256.429	181.105	310.722	277.313
469	4.68000	197.691	313.005	253.203	195.848	297.032	229.767	185.599	292.343	240.604	193.918	304.171	248.353	178.390	296.687	275.673
470	4.69000	210.539	313.886	257.726	190.854	292.223	212.381	187.818	302.334	237.426	197.457	307.288	243.217	190.148	305.049	271.228
471	4.70000	199.609	313.410	243.541	189.572	300.496	212.395	186.360	299.822	230.828	205.776	311.909	235.782	198.950	310.495	254.737
472	4.71000	201.699	314.698	229.878	200.920	306.623	209.486	199.179	303.056	222.091	194.415	308.757	219.239	197.078	316.021	248.950
473	4.72000	210.421	315.574	217.825	210.998	302.924	197.606	201.255	315.862	220.685	199.569	315.600	217.519	205.983	323.719	245.698
474	4.73000	206.998	329.634	207.179	210.415	300.039	188.233	201.315	308.477	204.575	206.133	320.741	207.496	206.779	322.723	228.106
475	4.74000	215.015	332.370	203.427	210.542	319.828	189.568	197.683	310.043	196.770	210.191	318.212	197.019	203.507	319.487	209.421
476	4.75000	216.401	327.156	200.020	222.287	322.273	188.569	203.289	319.311	198.382	218.455	321.741	203.622	212.240	326.716	202.524
477	4.76000	227.593	331.884	199.902	226.715	316.049	179.692	216.987	313.479	181.284	223.458	331.783	197.117	211.645	330.017	195.465
478	4.77000	241.452	337.642	192.389	227.753	319.226	181.044	217.190	315.846	171.680	234.202	327.073	180.612	211.216	327.009	181.806
479	4.78000	240.800	342.056	186.533	234.917	321.326	173.234	227.966	329.635	171.902	231.368	326.622	168.164	225.524	326.658	181.216
480	4.79000	242.880	332.322	180.829	247.561	332.947	166.847	237.815	334.055	166.452	232.117	326.492	165.975	232.606	334.640	178.278
481	4.80000	231.485	326.200	164.409	251.730	335.373	163.791	230.154	327.571	149.001	241.449	328.773	173.926	235.022	341.713	166.747
482	4.81000	238.372	329.848	155.125	239.956	328.294	146.391	236.959	325.917	138.349	241.432	337.321	159.117	245.634	339.685	155.312
483	4.82000	258.185	339.028	156.030	249.570	330.953	142.181	249.979	332.833	138.548	254.785	333.573	150.496	248.310	345.809	143.610
484	4.83000	266.718	354.512	159.635	263.225	339.223	143.632	246.940	332.528	135.738	258.252	338.971	141.088	246.022	351.051	140.128
485	4.84000	276.343	358.351	152.757	265.037	342.125	136.959	252.280	340.900	123.324	257.562	347.186	130.403	251.487	348.720	131.686
486	4.85000	262.564	343.173	136.687	267.714	345.186	152.195	270.865	355.592	126.084	265.293	343.016	140.459	262.355	346.297	125.392
487	4.86000	260.432	342.044	126.802	267.888	349.594	139.979	273.681	352.452	125.985	272.673	346.692	120.945	269.049	342.598	113.965
488	4.87000	280.288	350.572	131.319	280.226	354.503	119.200	268.011	346.001	107.958	270.852	347.212	109.713	273.337	346.436	105.735
489	4.88000	297.125	365.277	128.679	287.363	350.844	124.252	274.824	347.230	102.596	274.083	350.871	118.807	278.051	357.518	108.275
490	4.89000	290.627	357.094	115.365	283.677	348.978	112.228	275.430	343.250	99.706	296.215	350.870	109.693	284.592	353.833	99.584
491	4.90000	285.039	347.999	104.254	290.861	351.752	112.509	287.193	349.470	95.517	294.204	349.730	99.117	294.031	350.931	98.132
