NO_OF_FRAMES	494
NO_OF_DATA_TYPES	15
FREQUENCY	100
TIME_STAMP	2025-01-24, 16:24:13
DATA_INCLUDED	Position
DATA_TYPES	2_pos_X	2_pos_Y	2_pos_Z	3_pos_X	3_pos_Y	3_pos_Z	4_pos_X	4_pos_Y	4_pos_Z	C_pos_X	C_pos_Y	C_pos_Z	1_pos_X	1_pos_Y	1_pos_Z

Frame	Time	2_pos_X	2_pos_Y	2_pos_Z	3_pos_X	3_pos_Y	3_pos_Z	4_pos_X	4_pos_Y	4_pos_Z	C_pos_X	C_pos_Y	C_pos_Z	1_pos_X	1_pos_Y	1_pos_Z	
490	4.89000	326.462	438.068	257.230	474.561	435.757	244.122	471.960	286.787	252.165	404.269	360.614	273.524	324.663	287.112	262.611
491	4.90000	329.193	441.412	258.362	477.410	439.330	245.143	474.664	290.153	253.146	407.325	364.006	274.573	327.547	290.534	263.519
492	4.91000	332.163	445.028	259.315	480.378	442.792	246.372	477.704	293.776	254.076	410.153	367.608	275.507	330.543	294.131	264.574
493	4.92000	335.120	448.452	260.445	483.368	446.253	247.380	480.851	297.452	255.146	413.262	371.157	276.576	333.494	297.697	265.359
494	4.93000	338.079	452.234	261.316	486.422	450.038	248.245	483.787	300.975	255.761	416.113	374.626	277.295	336.547	301.218	266.166
495	4.94000	341.389	455.963	262.287	489.432	453.676	249.132	486.990	304.614	256.864	419.300	378.445	278.286	339.618	304.830	267.119
496	4.95000	344.437	459.353	263.105	492.681	457.248	249.996	489.900	308.142	257.520	422.376	381.830	279.110	342.787	308.580	267.929
497	4.96000	347.610	462.976	263.927	495.947	460.865	250.888	493.330	312.062	258.309	425.739	385.558	279.855	345.929	312.096	268.652
498	4.97000	351.007	466.836	264.765	498.997	464.539	251.517	496.541	315.501	259.231	428.953	389.158	280.616	349.331	315.748	269.509
499	4.98000	354.280	470.460	265.515	502.275	468.269	252.245	499.775	319.225	259.825	432.182	392.916	281.372	352.628	319.375	270.157
500	4.99000	357.476	474.049	266.128	505.584	471.821	252.954	503.265	322.992	260.539	435.677	396.675	282.150	355.955	323.139	270.863
501	5.00000	360.745	477.655	266.753	509.036	475.746	253.557	506.724	326.892	261.069	438.936	400.239	282.588	359.453	326.791	271.497
